address_hand,double_hypen,address,lastSoldPrice,lastSoldDate
1175-S-Williams-St-80209,False,,,
1181-S-Vine-St-80209,False,,,
1165-S-Vine-St-80209,False,,,
396-S-Williams-St-80209,False,,,
1166-S-Vine-St-80209,False,,,
1266-S-Vine-St-80209,False,,,
326-S-Gilpin-St-80209,False,,,
1127-S-Gaylord-St-80209,True,,,
1959-S-Race-St-80209,False,,,
325-S-York-St-80209,True,,,
1163-S-Gaylord-St-80209,True,,,
1180-S-York-St-80209,True,,,
1117-S-York-St-80209,True,,,
355-S-Williams-St-80209,False,,,
2210-S-Gaylord-St-80209,True,,,
1237-S-High-St-80209,False,,,
1295-S-Vine-St-80209,False,,,
522-S-Franklin-St-80209,False,,,
1145-S-High-St-80209,False,,,
2035-S-Vine-St-80209,False,,,
866-S-Vine-St-80209,False,,,
2119-S-Gaylord-St-80209,True,,,
1251-S-York-St-80209,True,,,
365-S-High-St-80209,False,,,
875-S-High-St-80209,False,,,
1233-S-Williams-St-80209,False,,,
761-S-Gaylord-St-80209,True,,,
1111-S-Vine-St-80209,False,,,
838-S-Vine-St-80209,False,,,
1190-S-York-St-80209,True,,,
1245-S-Gaylord-St-80209,True,,,
569-S-Vine-St-80209,False,,,
1193-S-Gaylord-St-80209,True,,,
512-S-Gilpin-St-80209,False,,,
1003-S-Gaylord-St-80209,True,,,
1601-S-Franklin-St-80209,False,,,
746-S-York-St-80209,True,,,
1277-S-Gaylord-St-80209,True,,,
1134-S-Williams-St-80209,False,,,
1100-S-Vine-St-80209,False,,,
1207-S-High-St-80209,False,,,
1216-S-Williams-St-80209,False,,,
990-S-Race-St-80209,False,,,
502-S-Williams-St-80209,False,,,
744-S-York-St-80209,True,,,
658-S-Race-St-80209,False,,,
1157-S-Vine-St-80209,False,,,
1120-S-Williams-St-80209,False,,,
875-S-Race-St-80209,False,,,
1044-S-Gaylord-St-80209,True,,,
1175-S-Gaylord-St-80209,True,,,
1035-S-Gilpin-St-80209,False,,,
1081-S-Gaylord-St-80209,True,,,
1212-S-York-St-80209,True,,,
1170-S-Gaylord-St-80209,True,,,
1700-S-Gilpin-St-80209,False,,,
895-S-Gaylord-St-80209,True,,,
634-S-Franklin-St-80209,False,,,
392-S-Gilpin-St-80209,False,,,
1178-S-Race-St-80209,False,,,
501-S-Franklin-St-80209,False,,,
1155-S-York-St-80209,True,,,
1640-S-Gilpin-St-80209,False,,,
1270-S-Williams-St-80209,False,,,
1703-S-Gilpin-St-80209,False,,,
532-S-Gaylord-St-80209,True,,,
1101-S-Vine-St-80209,False,,,
1101-S-York-St-80209,True,,,
1195-S-Vine-St-80209,False,,,
1283-S-Gaylord-St-80209,True,,,
1272-S-Vine-St-80209,False,,,
305-S-Franklin-St-80209,False,,,
1250-S-Vine-St-80209,False,,,
996-S-Gilpin-St-80209,False,,,
1224-S-York-St-80209,True,,,
712-S-Gilpin-St-80209,False,,,
1186-S-Williams-St-80209,False,,,
1030-S-Gaylord-St-80209,True,,,
1280-S-Gaylord-St-80209,True,,,
1817-S-Williams-St-80209,False,,,
692-S-Gilpin-St-80209,False,,,
1134-S-York-St-80209,True,,,
592-S-High-St-80209,False,,,
1152-S-Gaylord-St-80209,True,,,
540-S-Franklin-St-80209,False,,,
1283-S-Vine-St-80209,False,,,
1129-S-Williams-St-80209,False,,,
1174-S-Vine-St-80209,False,,,
500-S-Gaylord-St-80209,True,,,
1121-S-High-St-80209,False,,,
377-S-High-St-80209,False,,,
1120-S-Franklin-St-80209,False,,,
1127-S-High-St-80209,False,,,
718-S-Gilpin-St-80209,False,,,
1200-S-Williams-St-80209,False,,,
1241-S-High-St-80209,False,,,
951-S-Vine-St-80209,False,,,
437-S-York-St-80209,True,,,
624-S-Franklin-St-80209,False,,,
1265-S-York-St-80209,True,,,
595-S-Williams-St-80209,False,,,
510-S-Gilpin-St-80209,False,,,
1181-S-High-St-80209,False,,,
880-S-Race-St-80209,False,,,
318-S-Race-St-80209,False,,,
1033-S-Williams-St-80209,False,,,
